Day,Pb_Sum,Ppv_Sum,Pd_Sum,Ppvmax_Sum,Ps_Sum,Pc_Sum,SOC_Avg,Benefit,npv
56,0.0,985268.180973375,67543.2,1268804.123356029,976060.5015362147,76750.87943716021,32802.17218313613,52460794.712555364,445336989.2180872
57,0.0,984143.3038141994,67543.2,1291456.5284436387,974935.6243770391,76750.87943716021,26248.89072771204,52460794.712555364,445336989.2180872
58,0.0,973284.9083604483,67543.2,1244220.0892315388,964077.228923288,76750.87943716021,23467.13327470419,52460794.712555364,445336989.2180872
59,0.0,981382.3773203145,67543.2,1271183.3988238932,972174.6978831543,76750.87943716021,22695.60927228796,52460794.712555364,445336989.2180872
60,0.0,966015.7509321269,67543.2,1217135.322565683,956808.0714949666,76750.87943716021,25142.327816863875,52460794.712555364,445336989.2180872
61,0.0,964597.1058221621,67543.2,1227303.9807658172,955389.426385002,76750.87943716021,23802.172183136125,52460794.712555364,445336989.2180872
62,0.0,956695.6471612364,67543.2,1158470.5604455906,947487.9677240761,76750.87943716021,25142.327816863875,52460794.712555364,445336989.2180872
63,0.0,957074.8307157073,58443.2990687795,1181990.4470420866,938767.2503473265,76750.87943716021,26562.299283450717,52460794.712555364,445336989.2180872
64,0.0,949511.4112794366,67164.67497994636,1162335.9576617782,939925.2068222227,76750.87943716023,26124.504584991402,52460794.712555364,445336989.2180872
65,0.0,944421.404587057,77021.62595127415,1139612.6197245512,944692.1511011709,76750.87943716021,27848.604923745308,52460794.712555364,445336989.2180872
66,0.0,958525.2390106417,67543.2,1162161.5070166765,949317.5595734814,76750.87943716021,26248.89072771204,52460794.712555364,445336989.2180872
67,0.0,963580.0259940978,67543.2,1222076.2234325728,954372.3465569376,76750.87943716021,19142.327816863875,52460794.712555364,445336989.2180872
68,0.0,964350.9002538522,67543.2,1228792.4055084337,955143.2208166921,76750.87943716021,23132.094366272253,52460794.712555364,445336989.2180872
69,0.0,971244.988873379,20000.0,1210196.96267229,914494.1094362187,76750.87943716021,35030.64818071989,52460794.712555364,445336989.2180872
70,0.0,969460.1623549997,115086.4,1210195.9758087478,1007795.6829178394,76750.87943716021,26700.725997583766,52460794.712555364,445336989.2180872
71,0.0,976509.6110008113,67543.2,1215810.8156698286,967301.9315636512,76750.87943716021,23802.172183136125,52460794.712555364,445336989.2180872
72,0.0,971888.8103932537,67543.2,1236837.3743284703,962681.1309560934,76750.87943716021,25142.327816863875,52460794.712555364,445336989.2180872
73,0.0,962445.7683154653,67543.2,1191790.9479178607,953238.0888783052,76750.87943716021,23467.13327470419,52460794.712555364,445336989.2180872
74,0.0,970286.0048515222,67543.2,1201398.895018648,961078.3254143619,76750.87943716021,25142.327816863875,52460794.712555364,445336989.2180872
75,0.0,969428.0699028213,67543.2,1230621.1740334702,960220.3904656611,76750.87943716021,25142.327816863875,52460794.712555364,445336989.2180872
76,0.0,943634.2376980224,60000.0,1136682.6734619916,926883.3582608622,76750.87943716021,27044.75252831491,52460794.712555364,445336989.2180872
77,0.0,942525.324213613,75086.4,1127368.659101945,940860.8447764528,76750.87943716021,30298.98040079151,52460794.712555364,445336989.2180872
