Hour,Pb,Ppv,Pd,Ppvmax,Ps,Pc,SOC,Benefit,npv
102,0.0,0.0,0.0,0.0,0.0,0.0,25738.257624760146,57231472.607204266,474124441.4598438
103,0.0,717.9473999999999,14417.815352640784,717.9473999999999,15135.762752640783,0.0,10369.090848680004,57231472.607204266,474124441.4598438
104,0.0,46432.7367,0.0,46432.7367,46432.7367,0.0,10369.090848680004,57231472.607204266,474124441.4598438
105,0.0,95381.36850000001,0.0,95381.36850000001,95381.36850000001,0.0,10369.090848679998,57231472.607204266,474124441.4598438
106,0.0,134362.26330000002,0.0,134362.26330000002,100000.0,34362.26330000002,42604.33005041002,57231472.607204266,474124441.4598438
107,0.0,104694.26299999998,0.0,154527.31590000002,100000.0,4694.262999999977,47008.01817071,57231472.607204266,474124441.4598438
108,0.0,153557.5263,0.0,161094.4737,100000.0,53557.5263,97250.33359274,57231472.607204266,474124441.4598438
109,0.0,153557.5263,0.0,155060.2104,100000.0,53557.5263,147492.64901477,57231472.607204266,474124441.4598438
110,0.0,138286.63150000002,0.0,142597.10520000002,100000.0,38286.63150000003,183409.33802492003,57231472.607204266,474124441.4598438
111,0.0,114501.0,0.0,114501.0,100000.0,14501.0,197012.72612492,57231472.607204266,474124441.4598438
112,0.0,82654.57890000001,0.0,82654.57890000001,82654.57890000001,0.0,197012.72612492,57231472.607204266,474124441.4598438
113,0.0,39399.0,0.0,39399.0,39399.0,0.0,197012.72612492,57231472.607204266,474124441.4598438
114,0.0,4067.6841,0.0,4067.6841,4067.6841,0.0,197012.72612492,57231472.607204266,474124441.4598438
115,0.0,0.0,14417.815352640784,0.0,14417.815352640784,0.0,181643.55934883986,57231472.607204266,474124441.4598438
116,0.0,0.0,0.0,0.0,0.0,0.0,181643.55934883986,57231472.607204266,474124441.4598438
117,0.0,0.0,0.0,0.0,0.0,0.0,181643.55934883986,57231472.607204266,474124441.4598438
118,0.0,0.0,0.0,0.0,0.0,0.0,181643.55934883986,57231472.607204266,474124441.4598438
119,0.0,0.0,0.0,0.0,0.0,0.0,181643.55934883986,57231472.607204266,474124441.4598438
120,0.0,0.0,0.0,0.0,0.0,0.0,181643.55934883986,57231472.607204266,474124441.4598438
121,0.0,0.0,53557.5263,0.0,53557.5263,0.0,124552.06984878657,57231472.607204266,474124441.4598438
122,0.0,0.0,53557.5263,0.0,53557.5263,0.0,67460.58034873329,57231472.607204266,474124441.4598438
123,0.0,0.0,53557.5263,0.0,53557.5263,0.0,10369.090848679998,57231472.607204266,474124441.4598438
124,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
125,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
126,0.0,0.0,0.0,0.0,0.0,0.0,10369.090848679998,57231472.607204266,474124441.4598438
127,0.0,661.2633000000001,0.0,661.2633000000001,661.2633000000001,0.0,10369.090848679998,57231472.607204266,474124441.4598438
128,0.0,44156.8422,0.0,44156.8422,44156.8422,0.0,10369.090848679998,57231472.607204266,474124441.4598438
